Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Midway Valley,626,UTAH,9827,37.56933,-112.83849
Mill Creek Summit,627,IDAHO,8800,44.47212,-114.48992
Mill-D North,628,UTAH,8963,40.65883,-111.63683
Mineral Creek,629,COLORADO,10040,37.84747,-107.72657
Mining Fork,631,UTAH,8295,40.49384,-112.61141
Molas Lake,632,COLORADO,10500,37.74932,-107.68866
Monitor Pass,633,CALIFORNIA,8306,38.6683,-119.6087
Monte Cristo,634,UTAH,8932,41.46547,-111.49688
Monument Peak,635,MONTANA,8850,45.21759,-110.237
Moon Pass,1124,COLORADO,11140,37.96661,-106.55837
Moonshine,636,IDAHO,7440,44.4147,-113.39812
Morgan Creek,639,IDAHO,7600,44.84237,-114.26871
Mormon Mountain,640,ARIZONA,7500,34.94109,-111.51849
Mormon Mtn Summit,1125,ARIZONA,8500,34.96964,-111.50922
Mosby Mtn.,643,UTAH,9553,40.60798,-109.8881
Mt Baldy,1224,UTAH,9524,39.13648,-111.50527
Mt Pennell,1269,UTAH,9209,37.97793,-110.7933
Mt Rose Ski Area,652,NEVADA,8801,39.31573,-119.89473
Mt. Howard,653,OREGON,7910,45.26522,-117.17373
Mule Creek,656,MONTANA,8300,45.40957,-112.95927
Nast Lake,658,COLORADO,8700,39.29722,-106.60694
Navajo Whiskey Ck,1138,NEW MEXICO,9050,36.17728,-108.94691
Nevada Ridge,903,MONTANA,7020,46.84234,-112.50787
Never Summer,1031,COLORADO,10280,40.40405,-105.95583
New Fork Lake,661,WYOMING,8340,43.11265,-109.94947
Niwot,663,COLORADO,9910,40.03523,-105.54426
North Costilla,665,NEW MEXICO,10600,36.99378,-105.25963
North French Creek,668,WYOMING,10130,41.3308,-106.37555
North Lost Trail,669,COLORADO,9200,39.07813,-107.14389
Northeast Entrance,670,MONTANA,7350,45.00565,-110.01406
Nutrioso,1127,ARIZONA,8500,33.89747,-109.15517
Oak Creek,1146,UTAH,7850,39.3485,-112.32639
Old Battle,673,WYOMING,10000,41.15397,-106.96937
Onion Park,1008,MONTANA,7410,46.91348,-110.8536
Overland Res.,675,COLORADO,9840,39.09056,-107.63472
Owl Creek,676,WYOMING,8975,43.65868,-109.00988
Palo,1170,NEW MEXICO,9350,36.40848,-105.33063
Panguitch Lake RS,1148,UTAH,8350,37.70463,-112.65037
Park Cone,680,COLORADO,9600,38.81996,-106.58974
Park Reservoir,682,COLORADO,9960,39.04644,-107.87414
Parker Peak,683,WYOMING,9400,44.73396,-109.91484
Parleys Summit,684,UTAH,7585,40.76184,-111.62917
Parleys Upper,856,UTAH,8353,40.70194,-111.60619
Parrish Creek,971,UTAH,7740,40.93417,-111.81372
Payson R.S.,686,UTAH,8044,39.92976,-111.63109
Peterson Meadows,930,MONTANA,7200,46.12588,-113.30792
Phantom Valley,688,COLORADO,9030,40.39937,-105.84757
Phillips Bench,689,WYOMING,8200,43.51687,-110.91258
Pickle Keg,691,UTAH,9020,39.01219,-111.58259
Pine Creek,694,UTAH,8734,38.88185,-112.24915
Placer Basin,696,MONTANA,8830,45.41905,-110.08844
Pocket Creek,1133,WYOMING,9360,42.7121,-109.4112
Poison Flat,697,CALIFORNIA,7736,38.50576,-119.62624
Pole Canyon,1244,NEVADA,7760,40.86293,-115.12067
Pole Creek R.S.,698,NEVADA,8360,41.87255,-115.24713
Porphyry Creek,701,COLORADO,10760,38.48884,-106.33965
Porter Canyon,2170,NEVADA,7187,39.46544,-117.62069
Powder River Pass,703,WYOMING,9480,44.16188,-107.12622
Promontory,705,ARIZONA,7930,34.36824,-111.01084
Quemazon,708,NEW MEXICO,9500,35.92244,-106.39203
Rabbit Ears,709,COLORADO,9400,40.36783,-106.74038
Rainbow Canyon,1110,NEVADA,7860,36.2493,-115.62972
Rawah,1032,COLORADO,9020,40.7075,-106.0076
Red Mountain Pass,713,COLORADO,11200,37.8918,-107.71342
Red Pine Ridge,714,UTAH,8988,39.45197,-111.27221
Red River Pass #2,715,NEW MEXICO,9850,36.69925,-105.34125
Redden Mine Lwr,1225,UTAH,8532,40.67505,-111.21765
Rees Flat,1217,UTAH,7206,39.49667,-111.72508
Reno Hill,716,WYOMING,8400,42.57111,-106.08889
Rice Park,933,NEW MEXICO,8460,35.23333,-108.26667
Rio Santa Barbara,1254,NEW MEXICO,10664,36.07192,-105.62947
Ripple Creek,717,COLORADO,10340,40.10812,-107.29411
Roach,718,COLORADO,9700,40.87502,-106.04603
Rock Creek,720,UTAH,7886,40.54875,-110.69292
Rocker Peak,722,MONTANA,8000,46.35613,-112.26176
Rocky Basin-Settleme,723,UTAH,8704,40.44293,-112.22377
Rough And Tumble,939,COLORADO,10360,39.03333,-106.08333
