Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Ward Mountain,849,NEVADA,9163,39.13242,-114.95575
Warm Springs,850,MONTANA,7800,46.27368,-113.164
Webber Springs,852,WYOMING,9250,41.15946,-106.92714
Webster Flat,853,UTAH,9203,37.575,-112.90155
Weminuche Creek,1160,COLORADO,10740,37.51976,-107.32152
Wesner Springs,854,NEW MEXICO,11120,35.77556,-105.5425
Wheeler Peak,1147,NEVADA,10060,39.00995,-114.31021
Whiskey Ck,857,COLORADO,10220,37.21411,-105.12245
Whiskey Park,859,WYOMING,8950,41.00289,-106.90848
White Elephant,860,IDAHO,7710,44.53267,-111.41085
White Horse Lake,861,ARIZONA,7180,35.14202,-112.14915
White Mill,862,MONTANA,8700,45.04575,-109.90987
White River #1,864,UTAH,8641,39.9645,-110.98845
Widtsoe #3,865,UTAH,9640,37.83633,-111.88163
Wild Basin,1042,COLORADO,9560,40.20105,-105.60248
Wildcat,866,ARIZONA,7850,33.75835,-109.47973
Willow Creek,868,WYOMING,8080,42.81513,-110.83515
Willow Creek Pass,869,COLORADO,9540,40.34703,-106.09433
Willow Park,870,COLORADO,10700,40.43254,-105.73337
Wilson Creek,871,IDAHO,7120,42.01257,-115.00278
Windy Peak,872,WYOMING,7900,42.2802,-105.57816
Wolf Creek Peak,1164,UTAH,9796,40.47733,-111.04469
Wolf Creek Summit,874,COLORADO,11000,37.47922,-106.8017
Wolverine,875,WYOMING,7650,44.80417,-109.657
Wrigley Creek,1228,UTAH,9327,39.13233,-111.35685
Yankee Reservoir,1197,UTAH,8692,37.74797,-112.77495
Younts Peak,878,WYOMING,8350,43.93225,-109.81775
Zirkel,1033,COLORADO,9340,40.79488,-106.59535
